filename,volume #,,first page,last page,page range,creator,title,rights,webstatement,subject,keywords,createdate,publisher,date.copyright,identifier.issn,identifier.uri,identifier,relation.isFormatOf,relation.isPartOf,source,description
MamlukStudiesReview_I_1997.pdf,1,,0,0,0,The Middle East Documentation Center (MEDOC) at The University of Chicago,Mamlūk Studies Review Vol. 1 (1997),©1997 by individual authors. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,http://hdl.handle.net/11417/453,doi:10.6082/M1KH0KDP,"Digital version of Mamlūk Studies Review, Vol. I, published in 1997. ISSN for print volumes: 1086-170X.",,,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-Little.pdf,1,,1,13,1-13,Donald P. Little,"The Use of Documents for the Study of Mamluk History (MSR I, 1997)",©1997 by Donald P. Little. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 1-13) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-Guo.pdf,1,,15,43,15-43,Li Guo,"Mamluk Historiographic Studies: The State of the Art (MSR I, 1997)",©1997 by Li Guo. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, historiography","mamluk, Egypt, Syria, Middle, East, history, historiography",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 15-43) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-Clifford.pdf,1,,45,62,45-62,W. W. Clifford,"Ubi Sumus? Mamluk History and Social Theory (MSR I, 1997)",©1997 by W. W. Clifford. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 45-62) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-Homerin.pdf,1,,63,85,63-85,Th. Emil Homerin,"Reflections on Arabic Poetry in the Mamluk Age (MSR I, 1997)",©1997 by Th. Emil Homerin. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, poetry, Arabic, literature","mamluk, Egypt, Syria, Middle, East, history, poetry, Arabic, literature",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 63-85) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-Behrens-Abouseif.pdf,1,,87,96,87-96,Doris Behrens-Abouseif,"The Mahmal Legend and the Pilgrimage of the Ladies of the Mamluk Court (MSR I, 1997)",©1997 by Doris Behrens-Abouseif. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, pilgrimage, Islam, women","mamluk, Egypt, Syria, Middle, East, history, pilgrimage, Islam, women",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 87-96) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-Whitcomb.pdf,1,,97,106,97-106,Donald Whitcomb,"Mamluk Archaeological Studies: A Review (MSR I, 1997)",©1997 by Donald Whitcomb. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, archaeology","mamluk, Egypt, Syria, Middle, East, history, archaeology",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 97-106) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-Fernandes.pdf,1,,107,120,107-120,Leonor Fernandes,"Mamluk Architecture and the Question of Patronage (MSR I, 1997)",©1997 by Leonor Fernandes. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, architecture, patronage","mamluk, Egypt, Syria, Middle, East, history, architecture, patronage",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 107-120) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_I_1997-BookReviews.pdf,1,,121,182,121-182,"Amy W. Newhall, Doris Behrens-Abouseif, Carl F. Petry, David C. Reisman, John E. Woods, Richard T. Mortel, Th. Emil Homerin, Deborah Derylak, Warren C. Schultz, Linda S. Northrup, John L. Meloy, Anne F. Broadbridge, Walter E. Kaegi, Lutz Wiederhold, Gilles Hennequin, Donald P. Little, Michael Winter, W. W. Clifford, Jonathan M. Bloom","Book Reviews (MSR I, 1997)",©1997 by review authors. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:55:43Z,The Middle East Documentation Center (MEDOC),1997,1947-2404,,,"Digital version of an article published (pp. 121-182) in Mamlūk Studies Review, Vol. I, 1997. ISSN for print volumes: 1086-170X.",doi:10.6082/M1KH0KDP,doi:10.6082/M1KH0KDP,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MamlukStudiesReview_II_1998_18MB.pdf,2,,0,0,0,The Middle East Documentation Center (MEDOC) at The University of Chicago,Mamlūk Studies Review Vol. II (1998),©1998 by individual authors. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,http://hdl.handle.net/11417/449,doi:10.6082/M13F4MQM,"Digital version of Mamlūk Studies Review, Vol. II, published in 1998. ISSN for print volumes: 1086-170X.",,,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_II_1998-Humphreys.pdf,2,,1,17,1-17,R. Stephen Humphreys,"Ayyubids, Mamluks, and the Latin East in the Thirteenth Century (MSR II, 1998)",©1998 by R. Stephen Humphreys. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, Ayyubid","mamluk, Egypt, Syria, Middle, East, history, Ayyubid",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,,,"Digital version of an article published (pp. 1-17) in Mamlūk Studies Review, Vol. II, 1998. ISSN for print volumes: 1086-170X.",doi:10.6082/M13F4MQM,doi:10.6082/M13F4MQM,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_II_1998-Reisman.pdf,2,,19,49,19-49,David C. Reisman,"A Holograph MS of Ibn Qadi Shuhbah's ""Dhayl"" (MSR II, 1998)",©1998 by David C. Reisman. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history","mamluk, Egypt, Syria, Middle, East, history",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,,,"Digital version of an article published (pp. 19-49) in Mamlūk Studies Review, Vol. II, 1998. ISSN for print volumes: 1086-170X.",doi:10.6082/M13F4MQM,doi:10.6082/M13F4MQM,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
MSR_II_1998-Behrens-Abouseif.pdf,2,,45,62,45-62,Doris Behrens-Abouseif,"Qaytbay's Foundation in Medina, the Madrasah, the Ribat and the Dashishah (MSR II, 1998)",©1998 by Doris Behrens-Abouseif. This work is made available under a Creative Commons Attribution 4.0 International license (CC-BY). Mamlūk Studies Review is an Open Access journal. See http://mamluk.uchicago.edu/msr.html for more information.,http://mamluk.uchicago.edu/msr.html,"mamluk, Egypt, Syria, Middle East, history, Qaytbay","mamluk, Egypt, Syria, Middle, East, history, Qaytbay",2007:05:10 08:51:15Z,The Middle East Documentation Center (MEDOC),1998,1947-2404,,,"Digital version of an article published (pp. 61-71) in Mamlūk Studies Review, Vol. II, 1998. ISSN for print volumes: 1086-170X.",doi:10.6082/M13F4MQM,doi:10.6082/M13F4MQM,"Mamlūk Studies Review is an annual (bi-annual from 2003 to 2009), Open Access, refereed journal devoted to the Mamluk Sultanate of Egypt and Syria (1250-1517). See http://mamluk.uchicago.edu for further information."
