Graduation,Division,Department,Student Last Name,Student First Name,Student Middle Name,Title,IR participation,Delayed release (to IR),Delayed release (to ProQuest),Publishing option
2016.03 Winter,Biological Sciences and Pritzker,Genetics,Bandlamudi,Chaitanya,,DISCOVERY AND CHARACTERIZATION OF NOVEL SOMATIC AND WIDESPREAD INHERITED POLYMORPHIC FUSION GENES IN HUMANS,Yes,2017-03-21,2017-03-21,Traditional Publishing
2016.03 Winter,Social Sciences,History,Murphy,Tessa,,"The Creole Archipelago: Colonization, Experimentation, and Community in the Southern Caribbean, c.1700-1796",Yes,2017-03-21,2017-03-21,Traditional Publishing
2016.03 Winter,Biological Sciences and Pritzker,Cancer Biology,Singhal,Hari,,Genomic Agonism and Phenotypic Antagonism between Estrogen and Progesterone Receptors Inform Breast Cancer Prognosis and Therapies,Yes,2017-03-21,2017-03-21,Open Access Publishing PLUS
2016.03 Winter,Biological Sciences and Pritzker,Computational Neuroscience,Vaidya,Mukta,,POPULATION DYNAMICS IN PRIMARY MOTOR CORTEX DURING COORDINATED REACH TO GRASP,Yes,2017-03-21,2017-03-21,Traditional Publishing
2016.06 Spring,Social Sciences,Psychology,Cable,Erin,,Circadian Influences on the Functional Regulation of The Reproductive and Immune Systems of Siberian Hamsters (Phodopus sungorus),Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Social Sciences,Psychology,Filippi,Courtney,,From action to abstraction: The development of early social cognition,Yes,,2017-06-20,Traditional Publishing
2016.06 Spring,Humanities,New Testament and Early Christian Literature,Gray,Allison,Leigh,Weaving Lives for Virtuous Readers: Gregory of Nyssa as Biographer,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Physical Sciences,Chemistry,Henderson,James,Michael,Antimicrobial Peptides' Selectivity and Line Activity Governed by Membrane Properties,Yes,,2017-06-20,Traditional Publishing
2016.06 Spring,Humanities,Near Eastern Languages and Civilizations,Marcuson,Hannah,Leigh,"""Word of the Old Woman"": Studies in Female Ritual Practice in Hittite Anatolia",Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Biological Sciences and Pritzker,Evolutionary Biology,Stepien,Courtney,Cruise,The roles of evolutionary history and ecological interactions in the maintenance of a high-diversity macroalgal assemblage,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Humanities,Near Eastern Languages and Civilizations,Topcuoglu,Oya,,Emblems of Power: Ideology and Identity in Late Old Assyrian Glyptic,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Biological Sciences and Pritzker,Immunology,Wroblewska,Joanna,Alicja,The Lymphotoxin Pathway Mediates Protective Immunity Against a Bacterial Pathogen,Yes,2017-06-20,2017-06-20,Traditional Publishing
